央视,#genre#
CCTV-1综合,rtsp://220.186.213.205/PLTV/88888913/224/3221228078/10000100000000060000000002460690_0.smil
CCTV-2财经,rtsp://220.186.213.205/PLTV/88888913/224/3221228083/10000100000000060000000002633372_0.smil
CCTV-3综艺,rtsp://220.186.213.205/PLTV/88888913/224/3221229136/10000100000000060000000005809121_0.smil
CCTV-4中文国际,rtsp://220.186.213.205/PLTV/88888913/224/3221227806/10000100000000060000000000304159_0.smil
CCTV-5体育,rtsp://220.186.213.205/PLTV/88888913/224/3221229114/10000100000000060000000005809143_0.smil
CCTV-6电影,rtsp://220.186.213.205/PLTV/88888913/224/3221229161/10000100000000060000000005809142_0.smil
CCTV-7国防军事,rtsp://220.186.213.205/PLTV/88888913/224/3221228093/10000100000000060000000002633385_0.smil
CCTV-8电视剧,rtsp://220.186.213.205/PLTV/88888913/224/3221229157/10000100000000060000000005809141_0.smil
CCTV-9纪录,rtsp://220.186.213.205/PLTV/88888913/224/3221228112/10000100000000060000000002633384_0.smil
CCTV-10科教,rtsp://220.186.213.205/PLTV/88888913/224/3221228131/10000100000000060000000002633383_0.smil
CCTV-11戏曲,rtsp://220.186.213.205/PLTV/88888913/224/3221227777/10000100000000060000000000304164_0.smil
CCTV-12社会与法,rtsp://220.186.213.205/PLTV/88888913/224/3221228130/10000100000000060000000002633382_0.smil
CCTV-13新闻,rtsp://220.186.213.205/PLTV/88888913/224/3221229154/52628615.smil
CCTV-14少儿,rtsp://220.186.213.205/PLTV/88888913/224/3221228088/10000100000000060000000002633381_0.smil
CCTV-15音乐,rtsp://220.186.213.205/PLTV/88888913/224/3221227993/10000100000000060000000000794054_0.smil
CCTV-5+体育赛事,rtsp://220.186.213.205/PLTV/88888913/224/3221229201/52583204.smil
CCTV-17农村农业,rtsp://220.186.213.205/PLTV/88888913/224/3221229176/54864243.smil
