卫视,#genre#
浙江卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228012/10000100000000060000000000794032_0.smil
江苏卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228067/10000100000000060000000001063212_0.smil
湖南卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227983/10000100000000060000000000794037_0.smil
东方卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228140/10000100000000060000000002670196_0.smil
北京卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228080/10000100000000060000000001063209_0.smil
山东卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227978/10000100000000060000000000794036_0.smil
广东卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228011/10000100000000060000000000794034_0.smil
深圳卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221227988/10000100000000060000000000794038_0.smil
安徽卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228120/10000100000000060000000002242150_0.smil
重庆卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229061/10000100000000060000000004835834_0.smil
东南卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229040/10000100000000060000000004835831_0.smil
辽宁卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229042/10000100000000060000000004835836_0.smil
河北卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229050/10000100000000060000000004836297_0.smil
江西卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229127/10000100000000060000000004835832_0.smil
贵州卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229044/10000100000000060000000004835835_0.smil
四川卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229046/10000100000000060000000004835838_0.smil
河南卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221229057/10000100000000060000000004835833_0.smil
黑龙江卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228068/10000100000000060000000002242148_0.smil
湖北卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228102/10000100000000060000000002242149_0.smil
天津卫视,rtsp://220.186.213.205/PLTV/88888913/224/3221228016/10000100000000060000000000794035_0.smil
吉林卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227802/10000100000000060000000000304236_0.smil
内蒙古卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221229147/10000100000000060000000004969231_0.smil
宁夏卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227855/10000100000000060000000000304710_0.smil
山西卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227787/10000100000000060000000000304213_0.smil
陕西卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227826/10000100000000060000000000304223_0.smil
广西卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227840/10000100000000060000000000304250_0.smil
甘肃卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221229052/10000100000000060000000004969230_0.smil
云南卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227830/10000100000000060000000000304238_0.smil
西藏卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221228005/10000100000000060000000000793620_0.smil
海南卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227803/10000100000000060000000000304212_0.smil
青海卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227765/10000100000000060000000000304132_0.smil
兵团卫视标清,rtsp://220.186.213.205/PLTV/88888913/224/3221228006/10000100000000060000000000789241_0.smil
