浙江,#genre#
瑞安新闻,rtsp://220.186.213.205/PLTV/88888913/224/3221228993/10000100000000060000000004199197_0.smil
浙江经视,rtsp://220.186.213.205/PLTV/88888913/224/3221229115/10000100000000060000000004799165_0.smil
浙江少儿,rtsp://220.186.213.205/PLTV/88888913/224/3221229030/10000100000000060000000004799160_0.smil
浙江公共新闻,rtsp://220.186.213.205/PLTV/88888913/224/3221229034/10000100000000060000000004799161_0.smil
浙江钱江都市,rtsp://220.186.213.205/PLTV/88888913/224/3221229041/10000100000000060000000004799139_0.smil
浙江教科影视,rtsp://220.186.213.205/PLTV/88888913/224/3221229111/10000100000000060000000004799164_0.smil
浙江民生休闲,rtsp://220.186.213.205/PLTV/88888913/224/3221229045/10000100000000060000000004799162_0.smil
都市剧场,rtsp://220.186.213.205/PLTV/88888913/224/3221229244/72486950.smil
欢笑剧场,rtsp://220.186.213.205/PLTV/88888913/224/3221229240/72486906.smil
高清娱乐,rtsp://220.186.213.205/PLTV/88888913/224/3221228121/10000100000000060000000002460688_0.smil
乐游,rtsp://220.186.213.205/PLTV/88888913/224/3221229285/72486834.smil
新视觉,rtsp://220.186.213.205/PLTV/88888913/224/3221229145/10000100000000060000000005663523_0.smil
游戏风云,rtsp://220.186.213.205/PLTV/88888913/224/3221229289/72488480.smil
法治天地,rtsp://220.186.213.205/PLTV/88888913/224/3221229323/72486984.smil
探索纪录,rtsp://220.186.213.205/PLTV/88888913/224/3221228073/10000100000000060000000002460689_0.smil
BesTVlive,rtsp://220.186.213.205/PLTV/88888913/224/3221229015/10000100000000060000000004308263_0.smil
动漫秀场,rtsp://220.186.213.205/PLTV/88888913/224/3221229236/72486907.smil
优优宝贝,rtsp://220.186.213.205/PLTV/88888913/224/3221229403/86934031.smil
金色学堂,rtsp://220.186.213.205/PLTV/88888913/224/3221229315/72486946.smil
CCTV16,rtsp://220.186.213.205/PLTV/88888913/224/3221229331/74036079.smil
生活时尚,rtsp://220.186.213.205/PLTV/88888913/224/3221229277/72486909.smil
茶频道,rtsp://220.186.213.205/PLTV/88888913/224/3221229281/72486910.smil
金鹰卡通标清,rtsp://220.186.213.205/PLTV/88888913/224/3221229202/59229692.smil
哈哈炫动标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227973/10000100000000060000000000789247_0.smil
中国教育1台标清,rtsp://220.186.213.205/PLTV/88888913/224/3221227968/10000100000000060000000000789246_0.smil
中国教育4台标清,rtsp://220.186.213.205/PLTV/88888913/224/3221229128/10000100000000060000000005781889_0.smil
发现之旅标清,rtsp://220.186.213.205/PLTV/88888913/224/3221229311/71994609.smil
CGTN标清,rtsp://220.186.213.205/PLTV/88888913/224/3221228108/10000100000000060000000002707382_0.smil
